team,season,player_name,jersey_number,height,weight,college,player_id
MIN,1999,Anthony Bass,32,73.0,200.0,,00-0000857
DET,1999,Charlie Batch,10,74.0,220.0,,00-0000865
CHI,1999,D'Wayne Bates,87,74.0,215.0,,00-0000869
ARI,1999,Mario Bates,24,74.0,237.0,,00-0000871
CAR,1999,Michael Bates,24,70.0,189.0,,00-0000872
CIN,1999,Marco Battaglia,89,75.0,252.0,,00-0000883
NYJ,1999,Fred Baxter,84,75.0,265.0,,00-0000911
JAX,1999,Aaron Beasley,21,72.0,195.0,,00-0000939
SF,1999,Fred Beasley,40,72.0,235.0,,00-0000942
NO,1999,Brett Bech,89,73.0,201.0,,00-0000969
SEA,1999,Frank Beede,63,76.0,296.0,,00-0000999
SF,1999,Shonn Bell,82,77.0,257.0,,00-0001027
SD,1999,Jimmie Bell,90,77.0,285.0,,00-0001030
CIN,1999,Myron Bell,40,72.0,210.0,,00-0001041
GB,1999,Tyrone Bell,47,74.0,210.0,,00-0001054
SEA,1999,Jay Bellamy,20,71.0,199.0,,00-0001058
IND,1999,Jason Belser,29,69.0,196.0,,00-0001068
CIN,1999,Brandon Bennett,36,70.0,220.0,,00-0001098
IND,1999,Cornelius Bennett,97,75.0,240.0,,00-0001100
SD,1999,Darren Bennett,2,77.0,235.0,,00-0001101
KC,1999,Donnell Bennett,30,72.0,245.0,,00-0001102
CHI,1999,Edgar Bennett,32,72.0,218.0,,00-0001103
NYG,1999,Sean Bennett,44,73.0,230.0,,00-0001112
ARI,1999,Tommy Bennett,28,74.0,212.0,,00-0001114
KC,1999,Scott Bentley,9,72.0,203.0,,00-0001138
MIN,1999,Pete Bercich,56,73.0,240.0,,00-0001151
MIN,1999,Mitch Berger,17,76.0,221.0,,00-0001157
CLE,1999,Alex Bernstein,66,75.0,325.0,,00-0001173
IND,1999,Bertrand Berry,57,75.0,250.0,,00-0001176
PIT,1999,Jerome Bettis,36,71.0,250.0,,00-0001215
CAR,1999,Steve Beuerlein,7,75.0,220.0,,00-0001218
DET,1999,Eric Beverly,79,75.0,294.0,,00-0001222
CAR,1999,Tim Biakabutuka,21,72.0,215.0,,00-0001224
GB,1999,Josh Bidwell,9,75.0,225.0,,00-0001231
OAK,1999,Greg Biekert,54,74.0,255.0,,00-0001232
PHI,1999,Eric Bieniemy,33,67.0,205.0,,00-0001233
NE,1999,Terry Billups,23,69.0,179.0,,00-0001247
SD,1999,David Binn,50,75.0,245.0,,00-0001255
MIN,1999,Matt Birk,78,76.0,304.0,,00-0001263
TEN,1999,Blaine Bishop,23,69.0,203.0,,00-0001266
ATL,1999,Greg Bishop,65,77.0,315.0,,00-0001267
PIT,1999,Harold Bishop,80,76.0,254.0,,00-0001268
NE,1999,Michael Bishop,7,74.0,217.0,,00-0001272
DAL,1999,Eric Bjornson,86,76.0,236.0,,00-0001281
CIN,1999,Ken Blackman,66,78.0,320.0,,00-0001299
TB,1999,Ken Blackman,66,78.0,320.0,,00-0001299
CIN,1999,Roosevelt Blackmon,37,73.0,185.0,,00-0001303
BAL,1999,Jeff Blackshear,69,78.0,330.0,,00-0001307
PIT,1999,Will Blackwell,89,72.0,190.0,,00-0001317
DET,1999,Kerlin Blaise,65,77.0,323.0,,00-0001333
CIN,1999,Jeff Blake,8,72.0,210.0,,00-0001335
NYG,1999,Cary Blanchard,19,73.0,232.0,,00-0001343
NE,1999,Drew Bledsoe,11,77.0,233.0,,00-0001361
IND,1999,Tony Blevins,26,72.0,165.0,,00-0001368
SEA,1999,Greg Bloedorn,60,78.0,278.0,,00-0001373
STL,1999,Dre' Bly,32,69.0,185.0,,00-0001388
CLE,1999,Orlando Bobo,74,75.0,299.0,,00-0001397
MIA,1999,John Bock,60,75.0,295.0,,00-0001401
KC,1999,Juran Bolden,43,74.0,207.0,,00-0001427
JAX,1999,Trevor Bollers,40,72.0,255.0,,00-0001438
SF,1999,Shane Bonham,78,74.0,286.0,,00-0001458
IND,1999,Shane Bonham,72,74.0,286.0,,00-0001458
CHI,1999,Chris Boniol,18,71.0,167.0,,00-0001460
SD,1999,Sherdrick Bonner,11,76.0,238.0,,00-0001470
ARI,1999,Sherdrick Bonner,11,76.0,238.0,,00-0001470
CAR,1999,Steve Bono,12,76.0,215.0,,00-0001471
CHI,1999,Marty Booker,86,71.0,215.0,,00-0001477
ATL,1999,Michael Booker,20,74.0,200.0,,00-0001478
GB,1999,Vaughn Booker,96,77.0,300.0,,00-0001481
NYJ,1999,Dorian Boose,97,77.0,292.0,,00-0001488
CAR,1999,Tony Booth,31,72.0,195.0,,00-0001495
NO,1999,Chris Bordano,56,73.0,248.0,,00-0001502
SD,1999,Ben Bordelon,69,78.0,305.0,,00-0001503
JAX,1999,Tony Boselli,71,79.0,318.0,,00-0001519
PHI,1999,James Bostic,27,71.0,225.0,,00-0001525
PHI,1999,Jason Bostic,32,69.0,181.0,,00-0001526
ARI,1999,David Boston,89,74.0,210.0,,00-0001532
BAL,1999,Peter Boulware,58,76.0,255.0,,00-0001544
MIN,1999,Todd Bouman,8,74.0,227.0,,00-0001545
WAS,1999,Marc Boutte,93,76.0,307.0,,00-0001551
TEN,1999,Joe Bowden,58,71.0,235.0,,00-0001557
DEN,1999,David Bowens,52,74.0,255.0,,00-0001563
MIA,1999,Tim Bowens,95,76.0,315.0,,00-0001566
WAS,1999,Larry Bowie,47,72.0,249.0,,00-0001573
SEA,1999,Fabien Bownes,19,71.0,192.0,,00-0001582
DET,1999,Stephen Boyd,57,72.0,242.0,,00-0001604
JAX,1999,Brant Boyer,52,73.0,232.0,,00-0001611
JAX,1999,Tony Brackens,90,76.0,257.0,,00-0001623
GB,1999,Corey Bradford,85,73.0,205.0,,00-0001627
ATL,1999,Ronnie Bradford,23,70.0,195.0,,00-0001630
TEN,1999,Josh Bradley,49,78.0,271.0,,00-0001641
ARI,1999,Melvin Bradley,56,73.0,268.0,,00-0001647
IND,1999,Jeff Brady,51,73.0,243.0,,00-0001658
JAX,1999,Kyle Brady,80,78.0,274.0,,00-0001661
CIN,1999,Rich Braham,74,76.0,305.0,,00-0001669
OAK,1999,Calvin Branch,27,71.0,195.0,,00-0001676
BUF,1999,Dan Brandenburg,96,75.0,240.0,,00-0001681
IND,1999,Chad Bratzke,92,77.0,275.0,,00-0001707
DEN,1999,Tyrone Braxton,34,71.0,190.0,,00-0001713
DAL,1999,Chris Brazzell,82,74.0,193.0,,00-0001719
CHI,1999,Dorian Brew,45,70.0,182.0,,00-0001738
CIN,1999,Will Brice,10,76.0,220.0,,00-0001752
NO,1999,Doug Brien,10,72.0,180.0,,00-0001759
MIA,1999,O.J. Brigance,57,72.0,236.0,,00-0001760
MIN,1999,Gregg Briggs,0,75.0,214.0,,00-0001762
OAK,1999,Jeremy Brigham,87,78.0,255.0,,00-0001766
NE,1999,Vincent Brisby,82,75.0,193.0,,00-0001783
DEN,1999,Bubby Brister,6,75.0,205.0,,00-0001785
CHI,1999,Blake Brockermeyer,78,76.0,312.0,,00-0001804
DEN,1999,Jeff Brohm,11,73.0,205.0,,00-0001810
MIA,1999,Lorenzo Bromell,91,78.0,270.0,,00-0001811
SF,1999,Zack Bronson,31,73.0,195.0,,00-0001816
ATL,1999,Keith Brooking,56,74.0,242.0,,00-0001820
GB,1999,Aaron Brooks,2,76.0,205.0,,00-0001823
DET,1999,Barrett Brooks,76,76.0,326.0,,00-0001825
OAK,1999,Bobby Brooks,41,74.0,235.0,,00-0001828
TB,1999,Derrick Brooks,55,72.0,235.0,,00-0001833
CHI,1999,Macey Brooks,83,77.0,215.0,,00-0001842
PHI,1999,Luther Broughton,88,74.0,248.0,,00-0001862
PIT,1999,Anthony Brown,60,77.0,315.0,,00-0001875
SEA,1999,Chad Brown,94,74.0,240.0,,00-0001887
BAL,1999,Cornell Brown,51,72.0,240.0,,00-0001896
DET,1999,Corwin Brown,44,73.0,205.0,,00-0001897
DEN,1999,Cyron Brown,73,77.0,275.0,,00-0001902
ARI,1999,Dave Brown,17,78.0,225.0,,00-0001907
ARI,1999,Derek Brown,83,78.0,271.0,,00-0001919
WAS,1999,Doug Brown,78,79.0,290.0,,00-0001922
DEN,1999,Eric Brown,26,72.0,210.0,,00-0001931
PIT,1999,Ernie Brown,98,75.0,295.0,,00-0001933
SD,1999,Fakhir Brown,24,71.0,192.0,,00-0001934
NYG,1999,Gary Brown,33,71.0,230.0,,00-0001938
GB,1999,Gilbert Brown,93,74.0,345.0,,00-0001940
DET,1999,J.B. Brown,31,72.0,200.0,,00-0001953
MIA,1999,James Brown,76,78.0,325.0,,00-0001956
WAS,1999,Jamie Brown,73,80.0,318.0,,00-0001957
PIT,1999,Kris Brown,3,70.0,204.0,,00-0001980
PIT,1999,Lance Brown,29,74.0,203.0,,00-0001981
TEN,1999,Larry Brown,84,76.0,280.0,,00-0001986
CLE,1999,Lomas Brown,75,76.0,290.0,,00-0001990
PHI,1999,Na Brown,85,72.0,187.0,,00-0002005
ATL,1999,Omar Brown,27,70.0,200.0,,00-0002010
CLE,1999,Orlando Brown,77,79.0,350.0,,00-0002012
SF,1999,Ray Brown,65,77.0,318.0,,00-0002020
SEA,1999,Reggie Brown,34,72.0,244.0,,00-0002027
BUF,1999,Ruben Brown,79,75.0,304.0,,00-0002041
OAK,1999,Tim Brown,81,72.0,195.0,,00-0002058
NE,1999,Troy Brown,80,70.0,190.0,,00-0002068
SD,1999,Wilbert Brown,60,74.0,310.0,,00-0002074
KC,1999,John Browning,93,76.0,295.0,,00-0002090
STL,1999,Isaac Bruce,80,72.0,188.0,,00-0002099
PIT,1999,Mark Bruener,87,76.0,261.0,,00-0002102
JAX,1999,Mark Brunell,8,73.0,216.0,,00-0002110
NE,1999,Tedy Bruschi,54,73.0,245.0,,00-0002123
JAX,1999,Fernando Bryant,25,70.0,174.0,,00-0002138
SF,1999,Junior Bryant,90,76.0,278.0,,00-0002142
OAK,1999,Tony Bryant,94,76.0,275.0,,00-0002151
DAL,1999,Chris Brymer,60,75.0,300.0,,00-0002157
BUF,1999,Shawn Bryson,38,72.0,235.0,,00-0002159
PHI,1999,Doug Brzezinski,74,76.0,305.0,,00-0002160
ATL,1999,Ray Buchanan,34,69.0,185.0,,00-0002166
SF,1999,Jeff Buckey,71,76.0,295.0,,00-0002177
WAS,1999,Curtis Buckley,26,72.0,182.0,,00-0002180
NYG,1999,Marcus Buckley,55,75.0,248.0,,00-0002184
MIA,1999,Terrell Buckley,27,70.0,180.0,,00-0002185
SF,1999,Brentson Buckner,99,74.0,305.0,,00-0002186
CLE,1999,Jim Bundren,65,75.0,303.0,,00-0002216
ARI,1999,Tom Burke,60,75.0,261.0,,00-0002257
CAR,1999,Dialleo Burks,19,74.0,181.0,,00-0002266
JAX,1999,Chester Burnett,54,70.0,238.0,,00-0002286
BAL,1999,Rob Burnett,90,76.0,270.0,,00-0002294
CHI,1999,Keith Burns,52,74.0,245.0,,00-0002312
IND,1999,Jeff Burris,20,72.0,190.0,,00-0002328
MIN,1999,John Burrough,91,77.0,276.0,,00-0002332
NO,1999,Justin Burroughs,0,75.0,288.0,,00-0002336
MIA,1999,Sammie Burroughs,58,72.0,227.0,,00-0002337
CHI,1999,Shane Burton,94,78.0,305.0,,00-0002365
STL,1999,Devin Bush,23,72.0,210.0,,00-0002373
SD,1999,Lewis Bush,58,74.0,245.0,,00-0002377
CIN,1999,Steve Bush,88,75.0,258.0,,00-0002380
GB,1999,LeRoy Butler,36,72.0,203.0,,00-0002424
SD,1999,Kenny Bynum,43,71.0,191.0,,00-0002459
TEN,1999,Isaac Byrd,83,73.0,188.0,,00-0002469
DEN,1999,Glenn Cadrez,59,75.0,240.0,,00-0002493
PHI,1999,Mike Caldwell,56,74.0,237.0,,00-0002518
ATL,1999,Chris Calloway,80,70.0,188.0,,00-0002544
NYG,1999,Dan Campbell,86,77.0,265.0,,00-0002565
DET,1999,Lamar Campbell,39,71.0,183.0,,00-0002583
CLE,1999,Mark Campbell,83,78.0,253.0,,00-0002586
CAR,1999,Matt Campbell,66,76.0,300.0,,00-0002587
TB,1999,James Cannida,98,74.0,291.0,,00-0002604
CHI,1999,Jim Cantelupe,3,72.0,210.0,,00-0002610
SEA,1999,Chris Canty,26,69.0,185.0,,00-0002613
SD,1999,John Carney,3,71.0,170.0,,00-0002655
BUF,1999,Keion Carpenter,29,71.0,205.0,,00-0002666
STL,1999,Ron Carpenter,24,73.0,189.0,,00-0002669
DET,1999,Mark Carrier,27,73.0,190.0,,00-0002688
CAR,1999,Rae Carruth,89,71.0,194.0,,00-0002701
DEN,1999,Dwayne Carswell,89,75.0,260.0,,00-0002709
NE,1999,Tony Carter,30,72.0,232.0,,00-0002713
NE,1999,Chris Carter,42,74.0,209.0,,00-0002720
MIN,1999,Cris Carter,80,75.0,220.0,,00-0002721
DEN,1999,Dale Carter,40,73.0,188.0,,00-0002722
STL,1999,Kevin Carter,93,77.0,280.0,,00-0002742
CIN,1999,Ki-Jana Carter,32,70.0,222.0,,00-0002743
ATL,1999,Marty Carter,25,73.0,210.0,,00-0002748
CHI,1999,Tom Carter,25,72.0,190.0,,00-0002765
CIN,1999,Tom Carter,21,72.0,190.0,,00-0002765
ATL,1999,Johndale Carty,35,72.0,203.0,,00-0002775
NYJ,1999,Chad Cascadden,53,73.0,240.0,,00-0002784
BAL,1999,Stoney Case,10,75.0,201.0,,00-0002787
WAS,1999,Larry Centers,37,72.0,225.0,,00-0002846
JAX,1999,Anthony Cesario,79,77.0,311.0,,00-0002852
DEN,1999,Byron Chamberlain,86,73.0,242.0,,00-0002861
JAX,1999,Corey Chamblin,23,70.0,188.0,,00-0002868
DAL,1999,Robert Chancey,35,72.0,252.0,,00-0002873
ATL,1999,Chris Chandler,12,76.0,225.0,,00-0002876
CLE,1999,Roger Chanoine,69,76.0,295.0,,00-0002885
BAL,1999,Martin Chase,92,74.0,310.0,,00-0002908
ARI,1999,Corey Chavous,25,73.0,200.0,,00-0002919
NO,1999,Je'Rod Cherry,30,73.0,208.0,,00-0002928
NYG,1999,Mike Cherry,18,75.0,225.0,,00-0002930
IND,1999,Larry Chester,64,74.0,305.0,,00-0002938
CLE,1999,Darrin Chiaverini,84,73.0,210.0,,00-0002942
NYG,1999,O.J. Childress,57,73.0,244.0,,00-0002946
GB,1999,Mark Chmura,89,77.0,255.0,,00-0002958
NYJ,1999,Wayne Chrebet,80,70.0,188.0,,00-0002962
ATL,1999,Bob Christian,44,71.0,232.0,,00-0002970
BUF,1999,Steve Christie,2,72.0,190.0,,00-0002975
MIN,1999,Jeff Christy,62,75.0,286.0,,00-0002983
DET,1999,Pete Chryplewicz,81,77.0,261.0,,00-0002985
DET,1999,Chris Claiborne,50,75.0,255.0,,00-0003005
DEN,1999,Desmond Clark,88,75.0,255.0,,00-0003035
SF,1999,Greg Clark,85,76.0,251.0,,00-0003039
ARI,1999,Jon Clark,79,79.0,345.0,,00-0003045
CIN,1999,Rico Clark,21,70.0,181.0,,00-0003060
NE,1999,Rico Clark,39,70.0,181.0,,00-0003060
DAL,1999,Hayward Clay,83,75.0,260.0,,00-0003090
NO,1999,Willie Clay,42,70.0,200.0,,00-0003093
NO,1999,Cameron Cleeland,85,76.0,272.0,,00-0003103
ARI,1999,Anthony Clement,65,80.0,355.0,,00-0003105
STL,1999,Charlie Clemons,56,74.0,255.0,,00-0003111
MIN,1999,Duane Clemons,92,77.0,280.0,,00-0003112
SF,1999,Tony Cline,48,77.0,260.0,,00-0003128
PIT,1999,Tony Cline,48,77.0,260.0,,00-0003128
KC,1999,Mike Cloud,34,70.0,205.0,,00-0003136
STL,1999,Rich Coady,38,72.0,203.0,,00-0003139
DAL,1999,Dexter Coakley,52,70.0,228.0,,00-0003140
NE,1999,Ben Coates,87,77.0,245.0,,00-0003142
CIN,1999,Tony Coats,61,78.0,305.0,,00-0003144
SEA,1999,Antonio Cochran,90,76.0,297.0,,00-0003161
ARI,1999,Mac Cody,82,71.0,182.0,,00-0003175
DEN,1999,George Coghill,48,72.0,210.0,,00-0003187
JAX,1999,Ben Coleman,62,77.0,323.0,,00-0003212
WAS,1999,Marco Coleman,99,75.0,267.0,,00-0003230
NYJ,1999,Marcus Coleman,42,74.0,210.0,,00-0003231
OAK,1999,Rod Coleman,91,74.0,265.0,,00-0003239
CLE,1999,Stalin Colinet,93,78.0,284.0,,00-0003248
MIN,1999,Stalin Colinet,99,78.0,284.0,,00-0003248
DET,1999,Andre Collins,53,73.0,240.0,,00-0003264
BUF,1999,Bobby Collins,84,76.0,249.0,,00-0003266
ATL,1999,Calvin Collins,68,74.0,305.0,,00-0003269
MIA,1999,Cecil Collins,34,70.0,207.0,,00-0003271
NYG,1999,Kerry Collins,5,77.0,250.0,,00-0003292
OAK,1999,Mo Collins,79,76.0,330.0,,00-0003305
BAL,1999,Ryan Collins,49,78.0,259.0,,00-0003310
CLE,1999,Ryan Collins,88,78.0,259.0,,00-0003310
KC,1999,Todd Collins,15,76.0,228.0,,00-0003315
STL,1999,Todd F. Collins,54,74.0,248.0,,00-0003316
NE,1999,Ferric Collons,92,79.0,300.0,,00-0003319
TEN,1999,Doug Colman,59,74.0,250.0,,00-0003320
CHI,1999,Rosevelt Colvin,59,74.0,260.0,,00-0003338
NYG,1999,Greg Comella,34,73.0,240.0,,00-0003344
DET,1999,Mike Compton,77,78.0,298.0,,00-0003354
BUF,1999,Bill Conaty,63,74.0,300.0,,00-0003356
WAS,1999,Albert Connell,83,72.0,179.0,,00-0003378
PIT,1999,Chris Conrad,78,78.0,310.0,,00-0003388
WAS,1999,Brett Conway,5,74.0,192.0,,00-0003395
CHI,1999,Curtis Conway,80,72.0,194.0,,00-0003396
STL,1999,Ernie Conwell,84,73.0,265.0,,00-0003400
WAS,1999,Anthony Cook,75,75.0,295.0,,00-0003404
PHI,1999,Rashard Cook,42,71.0,197.0,,00-0003422
DEN,1999,Andre Cooper,81,74.0,210.0,,00-0003441
OAK,1999,Horace Copeland,80,75.0,200.0,,00-0003467
CIN,1999,John Copeland,92,75.0,280.0,,00-0003470
SEA,1999,Mondell Corbett,65,74.0,308.0,,00-0003474
NYG,1999,Jose Cortez,2,71.0,205.0,,00-0003501
DAL,1999,Quentin Coryatt,57,75.0,250.0,,00-0003504
CIN,1999,Brad Costello,6,73.0,230.0,,00-0003512
IND,1999,Chad Cota,37,73.0,198.0,,00-0003516
CLE,1999,Tim Couch,2,76.0,227.0,,00-0003535
MIN,1999,Keith Council,95,78.0,285.0,,00-0003536
CHI,1999,Terry Cousin,21,69.0,182.0,,00-0003547
CIN,1999,Scott Covington,4,74.0,217.0,,00-0003557
BUF,1999,Sam Cowart,56,74.0,245.0,,00-0003563
NYJ,1999,Bryan Cox,51,76.0,250.0,,00-0003572
JAX,1999,Jason Craft,29,70.0,178.0,,00-0003597
CAR,1999,Dameyune Craig,2,73.0,200.0,,00-0003600
NO,1999,Aaron Craver,32,72.0,232.0,,00-0003610
GB,1999,Keith Crawford,45,73.0,185.0,,00-0003619
NE,1999,Vernon Crawford,99,76.0,245.0,,00-0003629
ATL,1999,Henri Crockett,94,74.0,238.0,,00-0003660
DEN,1999,Ray Crockett,39,70.0,184.0,,00-0003661
OAK,1999,Zack Crockett,32,74.0,240.0,,00-0003663
STL,1999,Clifton Crosby,26,69.0,172.0,,00-0003676
CIN,1999,Clifton Crosby,23,69.0,172.0,,00-0003676
NYG,1999,Howard Cross,87,77.0,285.0,,00-0003681
DET,1999,Germane Crowell,82,75.0,216.0,,00-0003700
MIN,1999,Carlester Crumpler,87,78.0,253.0,,00-0003715
NYJ,1999,Buddy Crutchfield,36,72.0,196.0,,00-0003718
NE,1999,Derrick Cullors,29,72.0,195.0,,00-0003736
TB,1999,Brad Culpepper,77,73.0,270.0,,00-0003738
MIN,1999,Daunte Culpepper,12,76.0,250.0,,00-0003739
BUF,1999,Joe Cummings,51,74.0,242.0,,00-0003748
MIN,1999,Randall Cunningham,7,76.0,213.0,,00-0003761
DAL,1999,Richie Cunningham,3,70.0,167.0,,00-0003762
CAR,1999,Richie Cunningham,3,70.0,167.0,,00-0003762
TB,1999,DeMarcus Curry,76,77.0,332.0,,00-0003780
JAX,1999,Eric Curry,75,78.0,277.0,,00-0003781
GB,1999,Scott Curry,61,77.0,300.0,,00-0003788
CIN,1999,Canute Curtis,98,74.0,256.0,,00-0003794
PIT,1999,Matt Cushing,80,75.0,258.0,,00-0003803
TEN,1999,Kevin Daft,13,73.0,202.0,,00-0003819
NYJ,1999,Casey Dailey,94,75.0,249.0,,00-0003825
SF,1999,Chris Dalman,67,75.0,297.0,,00-0003835
MIN,1999,Antico Dalton,50,73.0,243.0,,00-0003837
BAL,1999,Lional Dalton,91,73.0,320.0,,00-0003838
NYG,1999,Brad Daluiso,3,74.0,180.0,,00-0003841
CAR,1999,Robert Daniel,72,78.0,275.0,,00-0003857
ARI,1999,Jerome Daniels,72,77.0,350.0,,00-0003869
SEA,1999,Phillip Daniels,93,77.0,263.0,,00-0003874
JAX,1999,Donovin Darius,20,73.0,216.0,,00-0003897
PHI,1999,James Darling,57,72.0,250.0,,00-0003902
CAR,1999,Norberto Davidds-Garrido,76,77.0,315.0,,00-0003930
GB,1999,Anthony Davis,50,72.0,235.0,,00-0003942
BAL,1999,Billy Davis,86,73.0,205.0,,00-0003944
TB,1999,Don Davis,58,73.0,234.0,,00-0003970
CAR,1999,Eric Davis,25,71.0,185.0,,00-0003977
