team,season,player_name,jersey_number,height,weight,college,player_id
ATL,2009,Brian Williams,29,71.0,202.0,,00-0021229
TEN,2009,David Thornton,50,74.0,225.0,,00-0021230
JAX,2009,David Garrard,9,73.0,236.0,,00-0021231
CLV,2009,Dave Zastudil,15,75.0,220.0,,00-0021235
SL,2009,Randy McMichael,84,75.0,255.0,,00-0021236
NE,2009,Jarvis Green,97,75.0,285.0,,00-0021244
DET,2009,Larry Foote,55,73.0,239.0,,00-0021246
PIT,2009,Rocky Boiman,50,76.0,236.0,,00-0021250
SEA,2009,John Owens,86,75.0,255.0,,00-0021255
DEN,2009,Andra Davis,54,73.0,250.0,,00-0021257
NO,2009,Scott Fujita,55,77.0,250.0,,00-0021259
NYG,2009,Rocky Bernard,95,75.0,308.0,,00-0021261
CLV,2009,Kenyon Coleman,90,77.0,295.0,,00-0021262
NO,2009,Jonathan Goodwin,76,75.0,318.0,,00-0021267
GB,2009,Aaron Kampman,74,76.0,260.0,,00-0021269
TB,2009,Jermaine Phillips,23,74.0,230.0,,00-0021270
CLV,2009,Robert Royal,84,76.0,257.0,,00-0021273
ATL,2009,Verron Haynes,36,69.0,233.0,,00-0021279
DET,2009,Demarcus Faggins,38,70.0,178.0,,00-0021286
CIN,2009,J.T. O'Sullivan,4,74.0,230.0,,00-0021296
PIT,2009,Justin Hartwig,62,76.0,312.0,,00-0021297
TB,2009,John Gilmore,88,77.0,257.0,,00-0021304
CHI,2009,Adrian Peterson,29,70.0,212.0,,00-0021306
MIN,2009,Chester Taylor,29,71.0,213.0,,00-0021314
TB,2009,Stylez G White,91,75.0,270.0,,00-0021332
IND,2009,Raheem Brock,79,76.0,274.0,,00-0021340
SF,2009,Eric Heitmann,66,75.0,312.0,,00-0021341
PIT,2009,Brett Keisel,99,77.0,285.0,,00-0021344
SL,2009,Chris Massey,45,72.0,245.0,,00-0021345
DAL,2009,Kyle Kosier,63,77.0,305.0,,00-0021348
WAS,2009,Rock Cartwright,31,68.0,213.0,,00-0021357
BLT,2009,Ed Reed,20,71.0,200.0,,00-0021377
DET,2009,Patrick Ramsey,14,74.0,225.0,,00-0021379
TEN,2009,Patrick Ramsey,11,74.0,225.0,,00-0021379
SD,2009,Quentin Jammer,23,72.0,204.0,,00-0021381
TB,2009,Ryan Sims,98,76.0,315.0,,00-0021382
MIN,2009,Bryant McKinnie,74,80.0,335.0,,00-0021383
DAL,2009,Andre Gurode,65,76.0,318.0,,00-0021385
ATL,2009,Bryan Pittman,48,75.0,265.0,,00-0021427
HST,2009,Bryan Pittman,48,75.0,265.0,,00-0021427
CIN,2009,Carson Palmer,9,77.0,235.0,USC,00-0021429
PHI,2009,Jon Dorenbos,46,72.0,250.0,Texas-El Paso,00-0021451
ATL,2009,Brett Romberg,66,74.0,293.0,,00-0021464
IND,2009,Gary Brackett,58,71.0,235.0,,00-0021484
DAL,2009,Mat McBriar,1,73.0,222.0,,00-0021488
TEN,2009,Tony Brown,97,75.0,290.0,,00-0021490
DET,2009,Vinny Ciurciu,46,72.0,240.0,,00-0021493
TEN,2009,Roderick Hood,37,71.0,198.0,,00-0021503
PHI,2009,Jamaal Jackson,67,76.0,330.0,,00-0021504
MIN,2009,Greg Lewis,17,72.0,185.0,,00-0021508
PHI,2009,Quintin Mikell,27,70.0,206.0,,00-0021512
DET,2009,Casey Fitzsimmons,82,76.0,260.0,,00-0021525
SD,2009,Jacques Cesaire,74,74.0,295.0,,00-0021542
SD,2009,Stephen Cooper,54,73.0,235.0,,00-0021544
SD,2009,Kris Dielman,68,76.0,320.0,,00-0021546
SD,2009,Antonio Gates,85,76.0,260.0,Kent State,00-0021547
SD,2009,Kassim Osgood,81,77.0,220.0,,00-0021570
PHI,2009,Chris Clemons,91,74.0,240.0,Georgia,00-0021577
CHI,2009,Israel Idonije,71,78.0,270.0,,00-0021604
NE,2009,Leigh Bodden,23,73.0,193.0,,00-0021612
SL,2009,Adam Goldberg,73,79.0,318.0,,00-0021637
PHI,2009,Tracy White,52,72.0,230.0,,00-0021645
ARZ,2009,Jerheme Urban,85,75.0,207.0,,00-0021647
PHI,2009,Joselio Hanson,21,69.0,185.0,,00-0021654
DAL,2009,Tony Romo,9,74.0,224.0,Eastern Illinois,00-0021678
CIN,2009,Shaun Smith,96,74.0,325.0,,00-0021679
SEA,2009,Colin Cole,90,73.0,330.0,Iowa,00-0021684
GB,2009,Cullen Jenkins,77,74.0,305.0,Central Michigan,00-0021706
WAS,2009,Glenn Pakulak,4,75.0,220.0,,00-0021746
TB,2009,Earnest Graham,34,69.0,225.0,,00-0021755
DET,2009,Will Heller,89,78.0,275.0,,00-0021756
CLV,2009,Billy Yates,68,74.0,305.0,,00-0021798
PIT,2009,Ivan Taylor,24,74.0,195.0,,00-0021891
ATL,2009,Tony Gilbert,51,72.0,245.0,,00-0021901
CIN,2009,Scott Kooistra,75,78.0,335.0,,00-0021902
ARZ,2009,Reggie Wells,74,76.0,312.0,,00-0021911
NE,2009,Sam Aiken,88,74.0,215.0,,00-0021915
NYG,2009,David Diehl,66,77.0,319.0,,00-0021922
BLT,2009,David Tyree,17,72.0,206.0,,00-0021927
GB,2009,Donald Lee,86,76.0,248.0,,00-0021929
HST,2009,Kevin Walter,83,75.0,215.0,,00-0021931
SL,2009,Josh Brown,3,72.0,212.0,,00-0021940
ARZ,2009,Gerald Hayes,54,73.0,246.0,,00-0021941
BLT,2009,Frank Walker,41,71.0,200.0,,00-0021943
OAK,2009,Chris Johnson,37,73.0,200.0,,00-0021949
BUF,2009,Bryan Scott,43,73.0,219.0,,00-0021951
BUF,2009,Todd Johnson,35,73.0,200.0,,00-0021952
PHI,2009,Asante Samuel,22,70.0,185.0,,00-0021956
JAX,2009,Jordan Black,78,77.0,305.0,,00-0021959
TB,2009,Jimmy Wilkerson,97,74.0,270.0,,00-0021960
BUF,2009,Kawika Mitchell,55,73.0,253.0,,00-0021970
ARZ,2009,Jeremy Bridges,73,76.0,326.0,,00-0021974
CIN,2009,Larry Johnson,27,73.0,230.0,,00-0021976
KC,2009,Larry Johnson,27,73.0,230.0,,00-0021976
NYG,2009,Osi Umenyiora,72,75.0,261.0,,00-0021977
PIT,2009,Shaun McDonald,81,70.0,183.0,,00-0021981
TEN,2009,Justin Gage,12,76.0,212.0,,00-0021982
CHI,2009,Hunter Hillenmeyer,92,76.0,238.0,,00-0021983
NE,2009,Ty Warren,94,77.0,300.0,,00-0021989
GB,2009,Nick Barnett,56,74.0,236.0,,00-0021990
HST,2009,Eugene Wilson,26,70.0,200.0,,00-0021992
BUF,2009,Drayton Florence,29,72.0,195.0,,00-0021994
BUF,2009,Chris Kelsay,90,76.0,261.0,,00-0021995
DET,2009,Dewayne White,99,74.0,273.0,,00-0021997
SEA,2009,Cory Redding,94,76.0,292.0,Texas,00-0021998
SEA,2009,Nate Burleson,81,72.0,198.0,,00-0021999
NYJ,2009,Wayne Hunter,78,77.0,303.0,,00-0022000
PHI,2009,Kevin Curtis,80,72.0,186.0,,00-0022001
DEN,2009,Kenny Peterson,90,75.0,300.0,,00-0022002
TB,2009,B.J. Askew,35,75.0,233.0,,00-0022003
DEN,2009,Chris Simms,2,76.0,220.0,,00-0022005
BUF,2009,Terrence McGee,24,69.0,198.0,,00-0022008
SF,2009,Matt Wilhelm,57,76.0,245.0,,00-0022009
PIT,2009,Nick Eason,93,75.0,305.0,,00-0022010
SEA,2009,Justin Griffith,33,72.0,230.0,,00-0022011
SD,2009,Mike Scifres,5,74.0,221.0,,00-0022017
ARZ,2009,Ben Claxton,62,74.0,301.0,,00-0022018
NE,2009,Dan Koppen,67,74.0,296.0,,00-0022019
TB,2009,Sean Mahan,79,75.0,301.0,,00-0022021
TB,2009,Torrie Cox,27,70.0,192.0,,00-0022029
DEN,2009,Mario Haggan,57,75.0,263.0,,00-0022034
NE,2009,Tully Banta-Cain,95,74.0,250.0,,00-0022038
NO,2009,Scott Shanle,58,74.0,245.0,,00-0022040
HST,2009,Andre Johnson,80,75.0,228.0,,00-0022044
DAL,2009,Terence Newman,41,71.0,190.0,Kansas State,00-0022045
SEA,2009,Marcus Trufant,23,71.0,197.0,,00-0022046
CAR,2009,Tyler Brayton,96,78.0,280.0,,00-0022047
DAL,2009,Ken Hamlin,26,74.0,208.0,,00-0022049
CHI,2009,Pisa Tinoisamoa,59,73.0,230.0,,00-0022050
MIN,2009,Visanthe Shiancoe,81,76.0,250.0,,00-0022054
SEA,2009,Seneca Wallace,15,71.0,205.0,,00-0022055
IND,2009,Robert Mathis,98,74.0,245.0,Alabama A&M,00-0022059
SF,2009,Arnaz Battle,83,73.0,208.0,,00-0022064
CHI,2009,Cato June,59,72.0,229.0,,00-0022065
MIA,2009,Yeremiah Bell,37,72.0,205.0,,00-0022067
MIN,2009,Kevin Williams,93,77.0,311.0,Oklahoma State,00-0022073
OAK,2009,Nnamdi Asomugha,21,74.0,210.0,,00-0022077
NO,2009,Jon Stinchcomb,78,77.0,315.0,,00-0022078
JAX,2009,Rashean Mathis,27,73.0,193.0,Bethune-Cookman,00-0022080
MIN,2009,E.J. Henderson,56,73.0,245.0,,00-0022081
ARZ,2009,Anquan Boldin,81,73.0,217.0,Florida State,00-0022084
CHI,2009,Anthony Adams,95,72.0,310.0,,00-0022085
JAX,2009,Vincent Manuwai,67,74.0,333.0,,00-0022089
OAK,2009,Sam Williams,54,77.0,260.0,,00-0022090
HST,2009,Chris Brown,22,75.0,234.0,,00-0022092
OAK,2009,Justin Fargas,25,73.0,220.0,,00-0022093
DAL,2009,Montrae Holland,64,74.0,322.0,,00-0022094
DEN,2009,Brandon Lloyd,84,72.0,194.0,,00-0022097
TEN,2009,Donnie Nickey,23,75.0,210.0,,00-0022100
ARZ,2009,Brian St. Pierre,2,75.0,224.0,,00-0022101
BUF,2009,Gibran Hamdan,10,76.0,220.0,,00-0022112
CAR,2009,Jordan Gross,69,76.0,305.0,,00-0022117
PIT,2009,Troy Polamalu,43,70.0,207.0,,00-0022119
NYJ,2009,Calvin Pace,97,76.0,265.0,Wake Forest,00-0022120
HST,2009,Rex Grossman,5,73.0,217.0,,00-0022121
CLV,2009,Eric Steinbach,65,78.0,295.0,,00-0022122
CHI,2009,Charles Tillman,33,73.0,198.0,Louisiana-Lafayette,00-0022123
BLT,2009,L.J. Smith,82,75.0,245.0,,00-0022126
DAL,2009,Jason Witten,82,77.0,262.0,Tennessee,00-0022127
CHI,2009,Lance Briggs,55,73.0,242.0,,00-0022128
KC,2009,Wade Smith,74,76.0,296.0,,00-0022131
WAS,2009,Derrick Dockery,66,78.0,326.0,,00-0022132
DAL,2009,Bradie James,56,74.0,245.0,,00-0022137
BLT,2009,Jarret Johnson,95,75.0,265.0,,00-0022139
SD,2009,Ian Scott,98,75.0,315.0,,00-0022140
CIN,2009,Jeremi Johnson,23,71.0,275.0,,00-0022141
ATL,2009,Ovie Mughelli,34,73.0,252.0,,00-0022143
KC,2009,Bobby Wade,80,70.0,186.0,,00-0022144
CLV,2009,Ryan Pontbriand,64,74.0,255.0,,00-0022145
SF,2009,Aubrayo Franklin,92,73.0,317.0,,00-0022147
SF,2009,Tony Pashos,77,78.0,326.0,,00-0022149
MIN,2009,Jimmy Kennedy,73,77.0,320.0,,00-0022155
DET,2009,Bryant Johnson,80,75.0,215.0,,00-0022156
TB,2009,Jeff Faine,52,75.0,291.0,,00-0022157
NYJ,2009,Donald Strickland,27,70.0,185.0,,00-0022158
BLT,2009,Terrell Suggs,55,75.0,260.0,Arizona State,00-0022161
SL,2009,Kyle Boller,12,75.0,220.0,,00-0022164
IND,2009,Dallas Clark,44,75.0,252.0,,00-0022165
HST,2009,Chaun Thompson,51,74.0,243.0,,00-0022166
CIN,2009,Chris Crocker,42,71.0,200.0,,00-0022167
SD,2009,Antonio Garay,71,75.0,303.0,,00-0022169
BLT,2009,Kelley Washington,15,75.0,217.0,,00-0022171
OAK,2009,William Joseph,94,77.0,310.0,,00-0022173
TB,2009,Byron Leftwich,7,77.0,250.0,,00-0022177
BLT,2009,Willis McGahee,23,72.0,235.0,,00-0022178
CAR,2009,Travelle Wharton,70,76.0,312.0,,00-0022214
CHI,2009,Nathan Vasher,31,70.0,187.0,,00-0022216
PIT,2009,Mewelde Moore,21,71.0,209.0,,00-0022217
ATL,2009,Erik Coleman,26,70.0,207.0,,00-0022218
ATL,2009,Tyson Clabo,77,78.0,331.0,,00-0022245
CLV,2009,Mike Adams,20,71.0,200.0,Delaware,00-0022247
PIT,2009,Willie Parker,39,70.0,209.0,,00-0022250
MIN,2009,Anthony Herrera,64,74.0,315.0,,00-0022266
DET,2009,John Standeford,16,76.0,200.0,,00-0022277
ARZ,2009,Jason Wright,31,70.0,212.0,,00-0022288
BUF,2009,Justin Jenkins,17,72.0,207.0,,00-0022296
BUF,2009,George Wilson,37,72.0,212.0,,00-0022341
NE,2009,Eric Alexander,52,74.0,240.0,,00-0022342
NO,2009,Randall Gay,20,71.0,190.0,,00-0022344
IND,2009,Ryan Lilja,65,74.0,290.0,,00-0022350
MIN,2009,Benny Sapp,22,69.0,190.0,,00-0022352
TB,2009,Steve Cargile,37,74.0,210.0,,00-0022387
KC,2009,Terrance Copper,10,72.0,207.0,,00-0022388
HST,2009,Vonta Leach,44,72.0,265.0,,00-0022397
MIA,2009,Lousaka Polite,36,72.0,245.0,,00-0022405
SEA,2009,Jordan Babineaux,27,72.0,206.0,,00-0022409
SD,2009,Malcom Floyd,80,77.0,225.0,Wyoming,00-0022414
SL,2009,Ruvell Martin,82,76.0,220.0,,00-0022421
NE,2009,Wes Welker,83,69.0,185.0,Texas Tech,00-0022427
PIT,2009,Carey Davis,38,70.0,225.0,,00-0022434
DET,2009,Don Muhlbach,48,76.0,265.0,Texas A&amp;M,00-0022455
ATL,2009,Jason Rader,85,76.0,263.0,,00-0022483
CIN,2009,J.P. Foschi,88,75.0,265.0,,00-0022484
JAX,2009,Jeremy Cain,48,73.0,245.0,,00-0022502
NO,2009,Jabari Greer,32,71.0,180.0,,00-0022527
OAK,2009,Luke Lawton,44,72.0,240.0,,00-0022529
PHI,2009,Jason Peters,71,76.0,340.0,Arkansas,00-0022531
OAK,2009,Tommy Kelly,93,78.0,300.0,,00-0022539
IND,2009,Josh Thomas,91,77.0,271.0,,00-0022554
MIN,2009,Cullen Loeffler,46,77.0,241.0,Texas,00-0022581
BUF,2009,Spencer Johnson,91,75.0,286.0,,00-0022610
HST,2009,Glenn Martinez,17,73.0,185.0,,00-0022613
SL,2009,Donnie Jones,5,74.0,222.0,LSU,00-0022684
SEA,2009,Craig Terrill,93,74.0,295.0,,00-0022692
PHI,2009,Jason Babin,94,75.0,267.0,Western Michigan,00-0022695
CIN,2009,Tank Johnson,99,75.0,305.0,,00-0022696
PIT,2009,Keyaron Fox,57,75.0,235.0,,00-0022697
CAR,2009,Keith Lewis,39,73.0,222.0,,00-0022702
CLV,2009,Michael Gaines,86,74.0,267.0,,00-0022706
CHI,2009,Michael Gaines,86,74.0,267.0,,00-0022706
KC,2009,Demorrio Williams,53,73.0,232.0,,00-0022707
TB,2009,Niko Koutouvides,53,74.0,238.0,,00-0022710
GB,2009,Brandon Chillar,54,75.0,237.0,,00-0022711
NE,2009,Vince Wilfork,75,74.0,325.0,Miami (Fla.),00-0022712
KC,2009,Ricardo Colclough,23,71.0,195.0,,00-0022713
SD,2009,Kris Wilson,88,74.0,245.0,,00-0022714
DAL,2009,Junior Siavii,95,77.0,320.0,,00-0022722
SD,2009,Shaun Phillips,95,75.0,262.0,,00-0022723
TB,2009,Michael Clayton,80,76.0,215.0,,00-0022725
BUF,2009,Kirk Chambers,73,79.0,315.0,,00-0022728
CHI,2009,Darrell McClover,98,73.0,226.0,,00-0022730
HST,2009,Dunta Robinson,23,70.0,184.0,,00-0022735
SL,2009,Steven Jackson,39,74.0,231.0,Oregon State,00-0022736
SD,2009,Nate Kaeding,10,72.0,187.0,,00-0022737
WAS,2009,Chris Cooley,47,75.0,250.0,,00-0022738
MIN,2009,Jared Allen,69,78.0,270.0,Idaho State,00-0022740
IND,2009,Jim Sorgi,12,77.0,196.0,,00-0022744
MIN,2009,Jeff Dugan,83,76.0,258.0,,00-0022746
BLT,2009,Dwan Edwards,93,75.0,290.0,Oregon State,00-0022750
NO,2009,Tony Hargrove,69,75.0,272.0,,00-0022753
TEN,2009,Jake Scott,73,77.0,295.0,,00-0022755
MIA,2009,Charlie Anderson,56,76.0,250.0,,00-0022764
DAL,2009,Patrick Crayton,84,72.0,203.0,,00-0022766
HST,2009,Jacques Reeves,35,71.0,188.0,,00-0022767
TB,2009,Derrick Ward,28,71.0,228.0,,00-0022770
TEN,2009,Eugene Amano,54,75.0,310.0,,00-0022771
NO,2009,Jonathan Vilma,51,73.0,230.0,,00-0022778
PHI,2009,Shawn Andrews,73,76.0,335.0,,00-0022779
DEN,2009,D.J. Williams,55,73.0,240.0,,00-0022780
ATL,2009,Michael Jenkins,12,76.0,217.0,,00-0022781
PIT,2009,Max Starks,78,80.0,345.0,,00-0022785
ARZ,2009,Matt Ware,22,74.0,215.0,,00-0022786
HST,2009,Matt Schaub,8,77.0,239.0,Virginia,00-0022787
DET,2009,Jason David,42,68.0,180.0,,00-0022790
HST,2009,Antonio Smith,94,76.0,285.0,Oklahoma State,00-0022793
SL,2009,Mike Karney,44,71.0,255.0,,00-0022796
NYG,2009,Eli Manning,10,76.0,225.0,Mississippi,00-0022803
SD,2009,Nick Hardwick,61,76.0,295.0,,00-0022804
MIA,2009,Randy Starks,94,75.0,305.0,Maryland,00-0022805
MIN,2009,Bernard Berrian,87,73.0,185.0,,00-0022807
DET,2009,Stephen Peterman,66,76.0,323.0,,00-0022808
MIA,2009,Reggie Torbor,53,74.0,250.0,,00-0022810
NYJ,2009,Jerricho Cotchery,89,72.0,203.0,North Carolina State,00-0022811
TEN,2009,Dave Ball,98,77.0,277.0,,00-0022814
MIA,2009,Gibril Wilson,28,72.0,205.0,,00-0022815
KC,2009,Sean Ryan,89,77.0,260.0,,00-0022817
ATL,2009,Michael Turner,33,70.0,256.0,,00-0022821
SF,2009,Andy Lee,4,74.0,180.0,Pittsburgh,00-0022824
MIA,2009,Nathan Jones,33,70.0,185.0,,00-0022828
GB,2009,Scott Wells,63,74.0,303.0,,00-0022832
OAK,2009,Robert Gallery,76,79.0,325.0,,00-0022836
CHI,2009,Tommie Harris,91,75.0,295.0,,00-0022837
NYG,2009,Chris Snee,76,75.0,317.0,,00-0022838
JAX,2009,Daryl Smith,52,74.0,249.0,Georgia Tech,00-0022839
SEA,2009,Julius Jones,22,70.0,208.0,,00-0022840
MIA,2009,Jake Grove,64,76.0,300.0,,00-0022841
MIN,2009,Madieu Williams,20,73.0,203.0,,00-0022842
SF,2009,Shawntae Spencer,36,73.0,190.0,,00-0022843
PHI,2009,Sean Jones,26,73.0,220.0,,00-0022844
NYJ,2009,Ben Hartsock,84,76.0,270.0,,00-0022847
SF,2009,Keith Smith,20,71.0,191.0,,00-0022851
SEA,2009,Sean Locklear,75,76.0,308.0,,00-0022855
CAR,2009,Landon Johnson,59,74.0,232.0,,00-0022860
SF,2009,Isaac Sopoaga,90,74.0,330.0,,00-0022863
JAX,2009,Luke McCown,12,75.0,217.0,Louisiana Tech,00-0022864
CIN,2009,Robert Geathers,91,75.0,280.0,,00-0022867
PHI,2009,Stacy Andrews,76,79.0,342.0,,00-0022870
JAX,2009,Josh Scobee,10,73.0,210.0,Louisiana Tech,00-0022874
SL,2009,Jacob Bell,63,76.0,295.0,,00-0022875
NO,2009,Rodney Leisle,95,75.0,315.0,,00-0022876
TEN,2009,Mark Jones,84,69.0,185.0,,00-0022882
NO,2009,Bobby McCray,93,78.0,260.0,,00-0022888
MIA,2009,Vernon Carey,72,77.0,340.0,,00-0022890
MIA,2009,Justin Smiley,65,75.0,310.0,,00-0022895
JAX,2009,Greg Jones,33,73.0,254.0,,00-0022897
TB,2009,Will Allen,26,73.0,200.0,Ohio State,00-0022900
JAX,2009,Ernest Wilford,85,76.0,235.0,,00-0022901
NO,2009,Nick Leckey,60,75.0,291.0,,00-0022904
CLV,2009,Rex Hadnot,70,74.0,320.0,,00-0022905
CLV,2009,Corey Williams,99,76.0,320.0,,00-0022906
DAL,2009,Roy Williams,11,75.0,220.0,,00-0022909
BUF,2009,Lee Evans,83,70.0,197.0,,00-0022910
NO,2009,Will Smith,91,75.0,282.0,,00-0022911
OAK,2009,J.P. Losman,7,74.0,212.0,,00-0022912
NYJ,2009,Ahmad Carroll,31,70.0,190.0,,00-0022913
CAR,2009,Chris Gamble,20,73.0,200.0,,00-0022914
DAL,2009,Igor Olshansky,99,78.0,309.0,,00-0022915
SD,2009,Dontarrious Thomas,57,74.0,241.0,,00-0022917
CIN,2009,Antwan Odom,98,77.0,280.0,,00-0022918
ARZ,2009,Larry Fitzgerald,11,75.0,217.0,Pittsburgh,00-0022921
TB,2009,Kellen Winslow,82,76.0,240.0,,00-0022922
WAS,2009,DeAngelo Hall,23,70.0,195.0,Virginia Tech,00-0022923
PIT,2009,Ben Roethlisberger,7,77.0,241.0,"Miami, O.",00-0022924
ARZ,2009,Karlos Dansby,58,76.0,250.0,Auburn,00-0022927
PIT,2009,Keiwan Ratliff,31,71.0,188.0,,00-0022928
CIN,2009,Keiwan Ratliff,26,71.0,188.0,,00-0022928
NO,2009,Devery Henderson,19,71.0,200.0,,00-0022929
ARZ,2009,Darnell Dockett,90,76.0,285.0,,00-0022930
NYJ,2009,Ryan Fowler,51,75.0,250.0,,00-0022932
SD,2009,Philip Rivers,17,77.0,228.0,North Carolina State,00-0022942
NE,2009,Benjamin Watson,84,75.0,255.0,Georgia,00-0022943
IND,2009,Bob Sanders,21,68.0,206.0,,00-0022944
ARZ,2009,Ben Graham,5,77.0,235.0,,00-0022954
TB,2009,Andrew Economos,48,73.0,250.0,,00-0022975
NE,2009,Dan Connolly,63,76.0,313.0,,00-0022979
GB,2009,Ryan Grant,25,73.0,222.0,,00-0022984
PIT,2009,Andre Frazier,54,77.0,245.0,,00-0022997
PIT,2009,Arnold Harrison,97,75.0,241.0,,00-0022998
CLV,2009,Arnold Harrison,94,75.0,241.0,,00-0022998
GB,2009,John Kuhn,30,72.0,250.0,Shippensburg,00-0022999
WAS,2009,Shaun Suisham,6,72.0,200.0,Bowling Green State,00-0023001
DAL,2009,Shaun Suisham,4,72.0,200.0,Bowling Green State,00-0023001
PIT,2009,Greg Warren,60,75.0,252.0,North Carolina,00-0023003
BLT,2009,Chris Carr,25,70.0,180.0,,00-0023008
OAK,2009,Erik Pears,72,80.0,305.0,,00-0023016
DAL,2009,Cory Procter,71,76.0,308.0,,00-0023023
SL,2009,James Butler,37,75.0,215.0,,00-0023053
MIN,2009,Chris Kluwe,5,76.0,215.0,,00-0023060
PHI,2009,Leonard Weaver,43,72.0,250.0,,00-0023063
SL,2009,Sam Gado,35,70.0,226.0,,00-0023074
SD,2009,Marques Harris,58,73.0,245.0,,00-0023084
SF,2009,Marques Harris,54,73.0,245.0,,00-0023084
CLV,2009,Derreck Robinson,67,76.0,290.0,,00-0023090
NO,2009,Herana-Daze Jones,29,71.0,205.0,,00-0023102
ARZ,2009,Stephen Spach,83,76.0,260.0,,00-0023108
ATL,2009,Antoine Harris,41,70.0,202.0,,00-0023136
MIA,2009,John Denney,92,77.0,255.0,Brigham Young,00-0023173
CLV,2009,Joshua Cribbs,16,73.0,215.0,,00-0023176
OAK,2009,Jon Condo,59,75.0,250.0,Maryland,00-0023177
BLT,2009,Tony Curtis,80,77.0,251.0,,00-0023179
ATL,2009,Harvey Dahl,73,77.0,305.0,,00-0023180
NO,2009,Leigh Torrence,24,71.0,179.0,,00-0023186
ATL,2009,Thomas Johnson,93,74.0,304.0,,00-0023195
DEN,2009,Darrell Reid,95,74.0,288.0,,00-0023199
NO,2009,Tory Humphrey,84,74.0,255.0,,00-0023210
IND,2009,Aaron Francisco,43,74.0,207.0,,00-0023213
MIN,2009,Heath Farwell,59,72.0,235.0,,00-0023215
HST,2009,Tim Bulman,93,76.0,267.0,,00-0023219
ATL,2009,Michael Koenen,9,71.0,198.0,,00-0023234
NO,2009,Kyle Eckel,36,71.0,237.0,,00-0023251
CHI,2009,Robbie Gould,9,72.0,185.0,Penn State,00-0023252
NE,2009,Mike Wright,99,76.0,295.0,,00-0023255
WAS,2009,Lorenzo Alexander,79,73.0,297.0,California,00-0023259
NYJ,2009,Jim Leonhard,36,68.0,186.0,,00-0023287
MIA,2009,Evan Oglesby,41,71.0,182.0,,00-0023288
DAL,2009,L.P. Ladouceur,91,76.0,256.0,California,00-0023298
KC,2009,Ikechuku Ndukwe,60,76.0,325.0,,00-0023299
NO,2009,Lance Moore,16,69.0,190.0,Toledo,00-0023310
OAK,2009,Isaiah Ekejiuba,50,76.0,240.0,,00-0023313
CLV,2009,Raymond Ventrone,41,70.0,200.0,,00-0023316
HST,2009,Chris White,63,74.0,290.0,,00-0023318
SL,2009,Gary Gibson,71,75.0,300.0,,00-0023327
BLT,2009,Matt Katula,70,78.0,265.0,,00-0023331
NE,2009,Brandon McGowan,30,71.0,210.0,,00-0023354
PIT,2009,Chris Kemoeatu,68,75.0,344.0,,00-0023362
CAR,2009,Rhys Lloyd,5,71.0,231.0,,00-0023363
TEN,2009,Nate Washington,85,73.0,185.0,,00-0023367
MIA,2009,Derek Wake,91,75.0,250.0,Penn State,00-0023368
GB,2009,Atari Bigby,20,71.0,213.0,,00-0023404
CLV,2009,Abram Elam,26,72.0,207.0,,00-0023405
MIA,2009,Greg Camarillo,83,73.0,190.0,,00-0023408
CHI,2009,Rashied Davis,81,69.0,187.0,,00-0023429
SF,2009,Alex Smith,11,76.0,217.0,Utah,00-0023436
MIA,2009,Ronnie Brown,23,72.0,230.0,,00-0023437
CLV,2009,Braylon Edwards,17,75.0,215.0,,00-0023438
NYJ,2009,Braylon Edwards,17,75.0,215.0,,00-0023438
CIN,2009,Cedric Benson,32,71.0,225.0,,00-0023439
TB,2009,Carnell Williams,24,71.0,217.0,,00-0023440
JAX,2009,Troy Williamson,84,73.0,203.0,,00-0023442
ARZ,2009,Antrel Rolle,21,72.0,208.0,Miami (Fla.),00-0023443
WAS,2009,Carlos Rogers,22,72.0,190.0,,00-0023444
DAL,2009,DeMarcus Ware,94,76.0,262.0,Troy,00-0023445
SD,2009,Shawne Merriman,56,76.0,265.0,,00-0023446
NO,2009,Jammal Brown,70,78.0,313.0,,00-0023447
CAR,2009,Thomas Davis,58,72.0,240.0,Georgia,00-0023448
KC,2009,Derrick Johnson,56,75.0,242.0,Texas,00-0023449
SD,2009,Travis Johnson,96,75.0,311.0,,00-0023450
SL,2009,Alex Barron,70,79.0,315.0,,00-0023454
DAL,2009,Marcus Spears,96,76.0,315.0,,00-0023455
BLT,2009,Mark Clayton,89,70.0,190.0,,00-0023457
BLT,2009,Fabian Washington,31,71.0,180.0,,00-0023458
GB,2009,Aaron Rodgers,12,74.0,220.0,California,00-0023459
WAS,2009,Jason Campbell,17,77.0,231.0,,00-0023460
SEA,2009,Chris Spencer,65,75.0,312.0,,00-0023461
ATL,2009,Roddy White,84,72.0,212.0,Alabama-Birmingham,00-0023462
SD,2009,Luis Castillo,93,75.0,290.0,,00-0023463
IND,2009,Marlin Jackson,28,72.0,196.0,,00-0023464
PIT,2009,Heath Miller,83,77.0,256.0,Virginia,00-0023465
PHI,2009,Mike Patterson,98,73.0,300.0,,00-0023466
NE,2009,Logan Mankins,70,76.0,310.0,Fresno State,00-0023467
SF,2009,David Baas,64,76.0,330.0,,00-0023468
CLV,2009,Brodney Pool,21,74.0,210.0,,00-0023469
PHI,2009,Reggie Brown,86,73.0,197.0,,00-0023470
TB,2009,Barrett Ruud,51,74.0,241.0,,00-0023471
HST,2009,Shaun Cody,95,76.0,310.0,,00-0023472
